YEAR,DEST,Germany,Italy,France,Spain,Austria,Sweden,Belgium,Greece,Hungary,Norway,Ireland,United Kingdom,Iceland,Switzerland,Netherlands,Finland,Poland,Luxembourg,Bulgaria,Malta,Romania,Denmark,Portugal,Lithuania,Czech Republic,The Netherlands,Slovakia,Slovenia,Cyprus,Latvia,Croatia,Estonia,Frontex
2006,all destinations,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,all destinations,45,93,34,130,24,0,3,0,0,1,0,17,0,44,28,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2008,all destinations,23,54,47,404,24,35,5,5,0,3,23,60,0,21,37,0,11,6,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0
2009,all destinations,152,138,68,236,211,156,7,25,24,31,216,131,4,65,48,2,78,12,0,5,1,0,0,0,4,0,1,1,3,1,0,0,0
2010,all destinations,226,100,52,343,405,143,5,86,13,67,111,176,1,2,50,51,80,5,0,16,0,0,0,0,2,0,2,2,3,0,0,0,0
2011,all destinations,390,104,49,550,182,142,26,20,14,215,185,113,0,36,43,45,21,1,3,12,1,9,17,0,1,0,2,0,0,0,0,0,0
2012,all destinations,647,195,62,354,184,200,5,24,42,79,101,0,0,6,24,9,18,33,6,48,6,0,6,0,1,0,0,0,0,0,0,0,0
2013,all destinations,455,128,105,542,81,195,60,79,28,52,64,42,39,6,24,26,29,0,41,2,6,5,6,0,0,0,0,2,0,0,0,0,0
2014,all destinations,473,119,155,334,80,148,59,165,288,93,0,41,1,12,14,60,65,34,31,18,2,17,3,13,0,0,3,0,0,0,0,0,0
2015,all destinations,1385,248,206,241,309,271,68,69,342,74,12,45,44,64,35,58,16,25,71,9,4,6,1,12,1,0,1,0,0,0,4,2,0
2016,all destinations,7256,800,283,362,317,324,182,204,140,92,0,47,189,87,58,67,6,30,8,4,1,14,1,9,0,0,1,0,0,0,0,0,2
2017,all destinations,8637,1992,1018,409,541,220,277,194,93,36,0,35,306,87,29,100,10,81,31,1,2,27,1,2,3,0,7,3,0,0,0,0,0
2018,all destinations,6854,2027,1082,616,701,132,259,68,29,13,0,0,83,86,141,29,6,9,8,0,0,0,4,2,0,0,1,3,0,0,0,0,0
2019,all destinations,5654,1863,1382,669,571,302,205,26,15,18,47,0,10,33,0,31,4,24,25,0,2,6,1,0,3,9,0,3,0,0,0,0,0
2020,all destinations,3851,1389,989,357,240,78,58,98,5,7,0,0,16,0,0,23,21,12,7,2,27,0,0,0,8,15,1,3,0,0,0,0,0
2021,all destinations,5400,2148,1322,507,284,80,22,162,15,11,0,0,6,21,0,3,17,23,13,0,44,0,1,2,10,0,1,2,0,0,0,0,0
2016,Afghanistan,34,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2017,Afghanistan,121,0,1,0,56,42,1,0,20,0,0,0,0,0,0,56,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0
2018,Afghanistan,284,0,0,0,116,68,2,6,11,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Afghanistan,361,0,0,0,168,246,0,3,7,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,Afghanistan,137,0,0,0,37,46,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Afghanistan,167,0,0,0,52,29,2,0,5,0,0,0,0,0,0,2,0,1,7,0,36,0,0,0,0,0,1,0,0,0,0,0,0
2007,Albania,0,1,5,0,0,0,1,0,0,0.5,0,8.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Albania,3.5,0,15.5,0,56,9,0,0,10.5,1.5,0,0,2,0,1,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Albania,11.5,0,3,0,68.5,2,0,0,0,0,0,11.5,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2013,Albania,0,5,59,8,0,10,15,0,0,0,15,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Albania,71.5,0,91.5,43,3,36,20,2,0,0.5,0,0,0,0,0,18.5,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0
2015,Albania,184,10,152.5,45.5,0,134,32,7,0,0,0,45,26,0,7,18,0,0,0,0,0,1,0,1.5,0,0,0,0,0,0,0,0.5,0
2016,Albania,2279,0,278,29.5,22,153.5,73,0,10.5,0,0,47,107,0,37.5,25.5,3,19,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Albania,2501,0,1006,38,8,78,145,0,0,0,0,35,119,0,19,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Albania,2171,0,1002,93,28,13,213,0,2,0,0,0,25,0,123,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019,Albania,795,0,1227,146,7,0,195,0,0,0,19,0,0,0,0,9,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
2020,Albania,591,47,903,44,0,7,49,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2021,Albania,602,0,1240,112,4,11,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Armenia,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Armenia,1,0,2,5,9,3.5,0,0,0,0,3.5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Armenia,2.5,0,2,6.5,8,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Armenia,0,0,0,0,13,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Armenia,9.5,3.5,8,8.5,22.5,2,0,0,1.5,0,0,0,0,2.5,0,0,5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2013,Armenia,2,0,2.5,3.5,4.5,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Armenia,11,1.5,0,4,2,15.5,0,2.5,0,0,0,0,0.5,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,Armenia,31.5,0,0,19,31,29,16.5,10.5,1.5,0,0,0,1,4,5,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,1
2017,Armenia,57,0,0,0,60,8,5,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Armenia,219,0,9,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Armenia,252,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Armenia,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Armenia,351,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Azerbaijan,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Azerbaijan,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Azerbaijan,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Azerbaijan,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Azerbaijan,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Bangladesh,0,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2016,Bangladesh,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Bangladesh,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Bangladesh,83,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Bangladesh,115,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Bangladesh,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Bangladesh,33,0,0,0,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,Belarus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Benin,5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Benin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Bosnia and Herzegovina,41,0,5,2,0,9,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Bosnia and Herzegovina,87,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Bosnia and Herzegovina,108.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Bosnia and Herzegovina,157,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Bosnia and Herzegovina,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Bosnia and Herzegovina,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Bosnia and Herzegovina,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Bosnia and Herzegovina,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Burkina Faso,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Cameroon,16,1,9,3.5,0,0,1,0,0,0,0,0,0,17.5,15,0,1.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2009,Cameroon,4,0,2.5,8,1.5,1,1.5,0,0,0,0,0,0,0,7,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Cameroon,3,0,1,4.5,2,2.5,2.5,0,0,1.5,0,9.5,0,0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Cameroon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Colombia,0,4.5,1.5,58,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Colombia,0.5,3.5,0.5,140.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Colombia,0,3.5,5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Colombia,0,1,3.5,102.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Colombia,0,0,1,151.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2012,Colombia,0,1.5,0.5,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
2013,Colombia,0,1.5,2.5,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Colombia,0,0,0,94,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Colombia,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Colombia,1,0,0,133.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Colombia,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Colombia,0,0,0,207,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019,Colombia,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Colombia,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Colombia,0,0,0,221,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Congo DR,6,0,2.5,7.5,0,3.5,7,0,0,8.5,41.5,5.5,0,5.5,2.5,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Congo DR,3,0,3,0,0,0,41,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Congo DR,0,0,3,0,0,0,35,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,Congo DR,0,0,0,0,0,1,22,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,Congo DR,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Congo DR,1,0,0,0,0,4,32,0,0,0,0,0,0,5,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2018,Congo DR,1,0,0,0,0,0,12,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Congo DR,1,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Congo DR,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,C̫te d'Ivoire,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Dominican Republic,0,0,0.5,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Dominican Republic,0,0,1.5,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Dominican Republic,0,0,0,48,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Dominican Republic,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Dominican Republic,0,0,0,104.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Dominican Republic,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Dominican Republic,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Dominican Republic,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Dominican Republic,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Dominican Republic,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Ecuador,0,4.5,1.5,58,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Ecuador,0.5,3.5,0.5,140.5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Ecuador,0,3.5,5,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Ecuador,0,1,3.5,102.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Ecuador,0,0,0.5,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2012,Ecuador,0,1.5,0.5,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
2013,Ecuador,0,3.5,1,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Ecuador,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Ecuador,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Egypt,0,0,0,0,0,0,0,0.5,2,1,0,0,0,3.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Egypt,6,182,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Egypt,43,37,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Egypt,28,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Egypt,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Egypt,39,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Ethiopia,0,0,0,0,0,15,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Ethiopia,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Ethiopia,20,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Gambia,8.5,0.5,2.5,7,4,0,0,0,0,0,2.5,17.5,0,3.5,2,0,0.5,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
2009,Gambia,3.5,0,0,0,6.5,1.5,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Gambia,3.5,0,0,0,6,0.5,0,0.5,0,0.5,10.5,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,Gambia,3,0,0,0,6,1,0,0,0.5,7,0,0,0,0,0,2.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
2017,Gambia,4,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Gambia,85,4,0,0,12,2,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,Gambia,36,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Gambia,19,0,0,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gambia,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Georgia,0,0,1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Georgia,0,0,3,2,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Georgia,1,0,8,20,20,3.5,0,11,0,0,4.5,2,0,14,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Georgia,21.5,0,13,42.5,20,3,0,19,0,1,0,0,0,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,Georgia,0,0,2.5,37,19,2.5,0,2,4.5,2,6.5,0,0,4,0,0,13,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
2012,Georgia,18,11.5,16,47,43,7.5,0,0,2,4,13,0,0,3.5,0,0,5,0,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0
2013,Georgia,23,3,12,28.5,8.5,8,0,23,2,1,3.5,0,0,4,2,0,21,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,Georgia,17.5,0,14.5,32,5,8,0,6,0,0.5,0,0,0,3,1,0.5,20,0,0,0,0,4,0,7.5,0,0,0,0,0,0,0,0,0
2015,Georgia,54,15.5,6.5,54.5,2,34,0,9.5,0,0,0,0,4,14,0,0,6,0,6,0,0,0,0,8.5,0,0,0,0,0,0,0,0.5,0
2016,Georgia,200.5,0,0,50,43,29,11.5,36.5,3,0,0,0,1,7,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2017,Georgia,327,0,0,66,64,20,6,48,5,0,0,0,28,9,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2018,Georgia,803,0,34,42,128,4,8,15,0,0,0,0,36,13,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2019,Georgia,751,8,141,113,48,16,2,0,0,0,12,0,10,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Georgia,726,33,81,36,84,14,0,34,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,Georgia,926,37,63,67,35,15,0,36,0,0,0,0,6,1,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2007,Ghana,6,1,0,2.5,0,0,0,0,0,0,0,0,0,3,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
