RO-ID,RO Date,Frontex Representative on Board
RO-00853,12/03/2019,1
RO-00855,11/06/2019,1
RO-00857,30/01/2019,1
RO-00858,27/02/2019,2
RO-00859,10/04/2019,1
RO-00860,15/03/2019,0
RO-00868,07/01/2019,0
RO-00869,18/02/2019,2
RO-00870,19/03/2019,0
RO-00871,22/01/2019,0
RO-00874,15/01/2019,2
RO-00875,14/02/2019,2
RO-00879,22/01/2019,1
RO-00882,24/01/2019,1
RO-00883,21/02/2019,1
RO-00884,26/03/2019,2
RO-00885,29/01/2019,1
RO-00886,16/01/2019,0
RO-00887,17/01/2019,1
RO-00888,15/01/2019,0
RO-00889,29/01/2019,0
RO-00891,03/01/2019,0
RO-00892,14/01/2019,0
RO-00894,05/02/2019,2
RO-00896,04/01/2019,0
RO-00898,08/01/2019,1
RO-00901,22/01/2019,1
RO-00902,15/01/2019,1
RO-00904,22/01/2019,1
RO-00905,29/01/2019,1
RO-00907,29/01/2019,0
RO-00910,05/02/2019,0
RO-00914,06/03/2019,1
RO-00915,13/03/2019,2
RO-00916,23/07/2019,1
RO-00918,06/02/2019,0
RO-00920,12/02/2019,0
RO-00923,03/01/2019,0
RO-00925,10/01/2019,0
RO-00926,26/02/2019,0
RO-00927,25/02/2019,0
RO-00928,05/02/2019,1
RO-00929,12/02/2019,1
RO-00930,19/02/2019,0
RO-00931,07/02/2019,1
RO-00932,26/02/2019,1
RO-00933,27/02/2019,1
RO-00934,17/01/2019,0
RO-ID,RO Date,Frontex Representative on Board
RO-00936,14/03/2019,0
RO-00937,09/02/2019,0
RO-00939,28/03/2019,1
RO-00941,22/01/2019,0
RO-00942,28/02/2019,0
RO-00943,14/02/2019,0
RO-00944,24/01/2019,0
RO-00945,05/03/2019,1
RO-00946,26/03/2019,0
RO-00947,07/05/2019,1
RO-00949,25/06/2019,1
RO-00950,24/09/2019,1
RO-00951,28/01/2019,0
RO-00952,11/04/2019,0
RO-00953,30/04/2019,0
RO-00954,07/03/2019,1
RO-00955,19/03/2019,1
RO-00956,12/03/2019,2
RO-00957,27/02/2019,0
RO-00958,26/03/2019,2
RO-00959,09/04/2019,2
RO-00960,14/03/2019,1
RO-00961,13/03/2019,0
RO-00962,11/02/2019,0
RO-00963,15/05/2019,0
RO-00964,05/04/2019,0
RO-00965,06/05/2019,1
RO-00966,22/05/2019,1
RO-00967,28/03/2019,1
RO-00970,26/06/2019,2
RO-00971,28/08/2019,1
RO-00973,24/07/2019,2
RO-00974,15/05/2019,1
RO-00975,02/04/2019,1
RO-00976,09/04/2019,1
RO-00977,16/04/2019,1
RO-00978,24/04/2019,1
RO-00980,09/04/2019,1
RO-00982,16/04/2019,1
RO-00983,19/03/2019,0
RO-00984,18/02/2019,0
RO-00985,19/02/2019,1
RO-00986,03/04/2019,0
RO-00987,10/04/2019,1
RO-00988,26/03/2019,1
RO-00989,25/07/2019,1
RO-00990,14/03/2019,0
RO-00991,04/03/2019,0
RO-ID,RO Date,Frontex Representative on Board
RO-00994,08/05/2019,1
RO-00996,28/03/2019,1
RO-00997,14/03/2019,0
RO-00998,15/03/2019,0
RO-00999,02/04/2019,1
RO-01000,18/04/2019,0
RO-01001,13/06/2019,1
RO-01002,25/06/2019,1
RO-01003,29/05/2019,0
RO-01004,08/05/2019,0
RO-01005,28/05/2019,1
RO-01006,27/05/2019,1
RO-01007,29/03/2019,0
RO-01008,26/04/2019,2
RO-01009,04/06/2019,1
RO-01010,01/04/2019,0
RO-01011,07/05/2019,1
RO-01012,06/06/2019,0
RO-01013,16/05/2019,0
RO-01014,16/05/2019,0
RO-01015,23/05/2019,1
RO-01016,08/04/2019,1
RO-01017,07/05/2019,1
RO-01018,14/05/2019,1
RO-01019,21/05/2019,1
RO-01020,28/05/2019,1
RO-01021,18/04/2019,1
RO-01022,23/05/2019,1
RO-01024,24/04/2019,0
RO-01025,25/04/2019,0
RO-01026,20/05/2019,0
RO-01027,11/06/2019,1
RO-01028,15/05/2019,1
RO-01029,03/06/2019,0
RO-01030,18/04/2019,0
RO-01031,06/06/2019,1
RO-01032,27/06/2019,0
RO-01035,27/06/2019,0
RO-01036,22/07/2019,0
RO-01037,22/10/2019,2
RO-01038,05/12/2019,1
RO-01039,05/06/2019,0
RO-01040,09/05/2019,0
RO-01041,05/09/2019,0
RO-01042,18/06/2019,1
RO-01043,21/05/2019,0
RO-01044,28/05/2019,0
RO-01045,06/06/2019,0
RO-ID,RO Date,Frontex Representative on Board
RO-01047,02/07/2019,0
RO-01048,01/10/2019,1
RO-01049,13/11/2019,1
RO-01050,27/11/2019,1
RO-01053,12/06/2019,1
RO-01054,03/06/2019,1
RO-01055,09/05/2019,0
RO-01056,11/09/2019,1
RO-01057,16/05/2019,0
RO-01058,16/05/2019,0
RO-01059,28/05/2019,0
RO-01060,04/07/2019,1
RO-01061,03/07/2019,1
RO-01063,11/06/2019,1
RO-01065,12/06/2019,1
RO-01066,24/09/2019,1
RO-01067,21/11/2019,1
RO-01068,17/12/2019,1
RO-01069,04/06/2019,1
RO-01070,18/06/2019,1
RO-01071,25/06/2019,1
RO-01072,28/06/2019,2
RO-01073,11/07/2019,0
RO-01074,12/06/2019,1
RO-01075,23/07/2019,1
RO-01076,13/08/2019,0
RO-01077,28/08/2019,1
RO-01078,24/05/2019,0
RO-01079,26/09/2019,0
RO-01080,17/06/2019,0
RO-01081,27/05/2019,0
RO-01083,30/05/2019,0
RO-01087,10/09/2019,0
RO-01088,30/07/2019,2
RO-01089,27/08/2019,1
RO-01090,03/09/2019,0
RO-01091,06/06/2019,0
RO-01092,27/06/2019,0
RO-01093,18/09/2019,0
RO-01094,15/07/2019,1
RO-01095,22/06/2019,0
RO-01096,10/06/2019,0
RO-01097,11/06/2019,0
RO-01099,13/08/2019,0
RO-01100,21/08/2019,2
RO-01102,02/07/2019,1
RO-01103,09/07/2019,2
RO-01104,16/07/2019,1
RO-ID,RO Date,Frontex Representative on Board
RO-01106,16/07/2019,1
RO-01107,17/06/2019,0
RO-01108,10/09/2019,1
RO-01109,22/08/2019,0
RO-01111,14/11/2019,0
RO-01112,24/06/2019,0
RO-01113,20/08/2019,0
RO-01114,27/06/2019,0
RO-01115,17/09/2019,1
RO-01116,21/10/2019,0
RO-01117,10/09/2019,0
RO-01118,26/09/2019,1
RO-01119,01/07/2019,0
RO-01120,04/07/2019,0
RO-01121,09/07/2019,0
RO-01122,11/07/2019,0
RO-01123,19/08/2019,2
RO-01124,17/07/2019,0
RO-01125,17/07/2019,0
RO-01127,13/08/2019,1
RO-01128,20/08/2019,1
RO-01129,27/08/2019,1
RO-01130,03/09/2019,1
RO-01131,10/09/2019,1
RO-01132,17/09/2019,1
RO-01133,24/09/2019,1
RO-01134,12/09/2019,0
RO-01135,25/09/2019,1
RO-01136,23/10/2019,1
RO-01137,04/12/2019,1
RO-01139,15/07/2019,0
RO-01140,29/08/2019,1
RO-01143,18/11/2019,1
RO-01144,11/09/2019,1
RO-01145,04/09/2019,0
RO-01146,18/07/2019,0
RO-01147,29/07/2019,0
RO-01148,05/09/2019,0
RO-01149,09/10/2019,0
RO-01150,10/12/2019,1
RO-01151,14/10/2019,0
RO-01152,29/10/2019,1
RO-01153,01/08/2019,0
RO-01154,28/08/2019,0
RO-01155,08/08/2019,0
RO-01156,15/08/2019,0
RO-01158,12/09/2019,0
RO-01159,22/10/2019,0
RO-ID,RO Date,Frontex Representative on Board
RO-01161,08/10/2019,0
RO-01162,06/11/2019,1
RO-01163,03/12/2019,1
RO-01164,15/10/2019,0
RO-01165,14/11/2019,1
RO-01166,19/08/2019,0
RO-01167,22/08/2019,0
RO-01168,16/12/2019,1
RO-01169,26/11/2019,1
RO-01170,21/11/2019,0
RO-01171,16/10/2019,1
RO-01172,13/11/2019,0
RO-01173,11/12/2019,0
RO-01174,12/11/2019,0
RO-01175,26/08/2019,0
RO-01176,03/09/2019,1
RO-01177,29/08/2019,0
RO-01184,27/09/2019,0
RO-01185,05/09/2019,0
RO-01189,29/10/2019,1
RO-01190,09/09/2019,0
RO-01191,10/09/2019,0
RO-01192,21/09/2019,1
RO-01199,11/12/2019,0
RO-01200,25/09/2019,0
RO-01201,16/10/2019,1
RO-01202,22/10/2019,0
RO-01203,10/12/2019,1
RO-01214,12/09/2019,0
RO-01215,08/10/2019,1
RO-01216,15/10/2019,1
RO-01217,23/10/2019,1
RO-01218,29/10/2019,1
RO-01221,16/09/2019,0
RO-01224,19/11/2019,0
RO-01225,04/10/2019,1
RO-01227,19/09/2019,0
RO-01230,29/10/2019,2
RO-01234,17/10/2019,1
RO-01235,19/09/2019,0
RO-01238,23/09/2019,0
RO-01239,26/09/2019,0
RO-01242,18/10/2019,0
RO-01243,30/09/2019,0
RO-01244,11/10/2019,0
RO-01245,15/10/2019,1
RO-01246,03/10/2019,0
RO-01247,06/11/2019,0
RO-ID,RO Date,Frontex Representative on Board
RO-01250,07/10/2019,0
RO-01251,04/12/2019,1
RO-01252,10/10/2019,0
RO-01254,05/11/2019,0
RO-01255,13/11/2019,2
RO-01256,19/11/2019,1
RO-01257,03/12/2019,1
RO-01258,10/12/2019,1
RO-01259,17/12/2019,1
RO-01260,28/11/2019,1
RO-01261,17/10/2019,0
RO-01262,21/10/2019,0
RO-01265,20/12/2019,1
RO-01266,06/11/2019,0
RO-01267,13/11/2019,0
RO-01268,28/10/2019,0
RO-01269,24/10/2019,0
RO-01270,11/12/2019,0
RO-01271,09/12/2019,0
RO-01273,18/12/2019,1
RO-01274,12/12/2019,0
RO-01275,31/10/2019,0
RO-01276,30/11/2019,0
RO-01277,20/11/2019,0
RO-01278,11/11/2019,0
RO-01280,03/12/2019,0
RO-01282,18/11/2019,0
RO-01290,25/11/2019,0
RO-01296,02/12/2019,0
RO-01297,05/12/2019,0
RO-01300,03/12/2019,0
RO-01308,09/12/2019,0
RO-01309,16/12/2019,0
RO-01310,26/12/2019,0
RO-01319,16/12/2019,0
RO-01320,21/12/2019,0
