YEAR,MSNAME,Germany,Austria,Italy,Spain,Sweden,France,Norway,Greece,Netherlands,Switzerland,Finland,Belgium,Iceland,United Kingdom,Ireland,Denmark,Frontex,Hungary,Bulgaria,Luxembourg,Poland,Malta,Monitor(s),Portugal,Romania,Czech Republic,Slovenia,Cyprus,Lithuania,Slovakia,Latvia,Estonia,Albania,Croatia
2009,all EU member states,569108.4,1217784.89,473939.36,200405.88,469525.22,492644.86,93002.13,4528.9,308280.06,0,6602.98,12799.14,8283.16,0,367300.2,0,21938.76,3231.42,0,42825.34,38422.8,6667.05,0,0,3935.06,4592.54,1683.52,7433.139999999999,0,4740.27,1479.85,0,0,0
2010,all EU member states,770604.09,1634412.69,358901.85,1645537.6300000001,1192601.32,574618.44,309613.06,39068.84,439967.67,0,166830.40999999997,1439.52,3533.55,1011748.5,55654.31,0,101940.89,10255.39,1209.24,0,50538.869999999995,51904.1,0,0,0,2222.47,0,5047.94,0,75.34,0,0,0,0
2011,all EU member states,809804.87,1425995.67,382364.57999999996,1565609.1199999999,846102.11,505140.12,549855.27,4759.8,735572.72,99668.93,457087.46,8885.94,0,433648.99,538568.05,11462.17,47336.72,6760.49,3389.06,19180.98,16457.96,9499.470000000001,0,33574.87,0,2367.35,0,0,0,54.79,612.82,0,0,0
2012,all EU member states,991195.61,1650541.42,806017.45,1490252.1400000001,813169.66,207918.43,646892.24,12636.67,312044.85,31809.440000000002,155876.69,1502.01,0,18478.52,178959.91,645.4,44545.65,3118.91,4800.46,5120.9,15007.9,5864.139999999999,0,5565.46,6042.72,204.81,0,0,0,0,536.76,0,0,0
2013,all EU member states,854585.03,1184148.79,638094.05,2365761.52,571308.29,195695.64,425788.35,0,313739.69,33783.96,168602,0,114417.26,0,222490.21,40931,34380.090000000004,10297.71,45803.49,0,11983.95,2838.3,0,5372.43,5331.58,0,0,0,0,0,0,842.24,0,972.25
2014,all EU member states,782151.57,583656.05,665308.96,1994099.66,789055.42,333673.58,634529.6900000001,0,479944.12,140259.32,314906.63,0,7074.26,229278.8,0,12276.36,69790.45,129543.32,19697.57,12093.42,14408.84,53559.64,0,4661.04,3737.34,0,0,0,0,41.28,0,0,1210,0
2015,all EU member states,2091722.91,1614831.52,1450169.47,1536332.47,997257.8,389051.78,784042.42,328,529663.25,295588.494,316666.57,143742.35,129122.04000000001,180030,127091.58,398589.48,9,103736.65000000001,104576.48999999999,41378.409999999996,7641.79,13882.85,0,1558.85,3846.76,108,0,0,2441.7,196.86,0,1093.22,0,166.78
2016,all EU member states,9919084.942,2747033.84,2136220.32,3144259.37,1223455.69,971379.22,644616.5399999999,1826933.75,385817.01999999996,664921.262,172068.36,356258.1528,496009.68,0,0,624368.45,7349.9,34380.124,2347.7000000000003,33672.9,0,1631.92,0,1980.7,0,0,0,0,3752.8199999999997,0,0,0,0,0
2017,all EU member states,11641266.41,6688517.89,6013431.7299999995,2399115.37,2610779.35,3579183.7,393682.60000000003,2950162.55,734405.84,653848.69,1122862.52,1546131.49,1087127.77,0,0,152172.32,0,6575.52,46985.88,71250.63,0,0,128980.1,0,0,0,0,0,0,0,0,0,0,0
2018,all EU member states,12410038.27,5820822.86,5443518.29,2682355.9,1320059.67,2759314.62,196648.29,0,122875.28,1295868.51,534021.51,621935.35,653580.92,0,0,0,901316.74,217267.66999999998,18416.55,11060.11,14059.2,0,0,7064.07,0,7075.84,0,0,6156.96,0,0,0,0,0
2019,all EU member states,26029143.53,6640403.4399999995,4176211.2399999998,3346856.32,5053962.04,2602206.05,383785.77999999997,0,10945.67,1065511.22,407254.68,569224.94,158672.01,0,0,89034.8,0,55660.77,99223.41,67101.98,21100.42,0,0,681.75,6266.04,6722.56,6016.97,0,0,0,0,0,0,0
2020,all EU member states,9386724.26,1188678.81,1641745.91,531479.06,1294644.03,1344010.78,16567.07,0,11331.240000000002,0,171350.54,345354.87,66927.57,0,0,0,0,10348.07,13288.57,35814.28,17929.059999999998,0,0,0,0,0,5959,0,0,0,0,0,0,0
2009,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Austria,0,1217784.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Belgium,0,0,0,0,0,0,0,0,0,0,0,12799.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7433.139999999999,0,0,0,0,0,0
2009,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4592.54,0,0,0,0,0,0,0,0
2009,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Finland,0,0,0,0,0,0,0,0,0,0,6602.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,France,0,0,0,0,0,492644.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Frontex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21938.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Germany,569108.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Greece,0,0,0,0,0,0,0,4528.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,8283.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367300.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Italy,0,0,473939.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479.85,0,0,0
2009,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42825.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6667.05,0,0,0,0,0,0,0,0,0,0,0,0
2009,Monitor(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Netherlands,0,0,0,0,0,0,0,0,308280.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Norway,0,0,0,0,0,0,93002.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38422.8,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3935.06,0,0,0,0,0,0,0,0,0
2009,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4740.27,0,0,0,0
2009,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683.52,0,0,0,0,0,0,0
2009,Spain,0,0,0,200405.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Sweden,0,0,0,0,469525.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Austria,0,1634412.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Belgium,0,0,0,0,0,0,0,0,0,0,0,1439.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1209.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5047.94,0,0,0,0,0,0
2010,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222.47,0,0,0,0,0,0,0,0
2010,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Finland,0,0,0,0,0,0,0,0,0,0,166830.40999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,France,0,0,0,0,0,574618.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Frontex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101940.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Germany,770604.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Greece,0,0,0,0,0,0,0,39068.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10255.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,3533.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55654.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Italy,0,0,358901.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51904.1,0,0,0,0,0,0,0,0,0,0,0,0
2010,Monitor(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Netherlands,0,0,0,0,0,0,0,0,439967.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Norway,0,0,0,0,0,0,309613.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50538.869999999995,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.34,0,0,0,0
2010,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Spain,0,0,0,1645537.6300000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Sweden,0,0,0,0,1192601.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,1011748.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Austria,0,1425995.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Belgium,0,0,0,0,0,0,0,0,0,0,0,8885.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3389.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367.35,0,0,0,0,0,0,0,0
2011,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11462.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Finland,0,0,0,0,0,0,0,0,0,0,457087.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,France,0,0,0,0,0,505140.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Frontex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47336.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Germany,809804.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Greece,0,0,0,0,0,0,0,4759.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6760.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538568.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Italy,0,0,382364.57999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612.82,0,0,0
2011,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19180.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9499.470000000001,0,0,0,0,0,0,0,0,0,0,0,0
2011,Monitor(s),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Netherlands,0,0,0,0,0,0,0,0,735572.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Norway,0,0,0,0,0,0,549855.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16457.96,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33574.87,0,0,0,0,0,0,0,0,0,0
2011,Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.79,0,0,0,0
2011,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Spain,0,0,0,1565609.1199999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Sweden,0,0,0,0,846102.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Switzerland,0,0,0,0,0,0,0,0,0,99668.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,433648.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Austria,0,1650541.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Belgium,0,0,0,0,0,0,0,0,0,0,0,1502.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4800.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
