DEST,MSNAME,N_RETURNEES
Afghanistan,Austria,377
Afghanistan,Belgium,3
Afghanistan,Bulgaria,23
Afghanistan,Denmark,19
Afghanistan,Finland,65
Afghanistan,France,1
Afghanistan,Germany,937
Afghanistan,Greece,11
Afghanistan,Hungary,38
Afghanistan,Slovenia,2
Afghanistan,Sweden,415
Albania,Austria,192.5
Albania,Belgium,743
Albania,Bulgaria,1.5
Albania,Denmark,1
Albania,Estonia,0.5
Albania,Finland,86
Albania,France,4742.5
Albania,Germany,8533.5
Albania,Greece,9
Albania,Hungary,23
Albania,Iceland,323.5
Albania,Ireland,34
Albania,Italy,63
Albania,Lithuania,3
Albania,Luxembourg,53.5
Albania,Netherlands,199.5
Albania,Norway,2.5
Albania,Poland,4.5
Albania,Portugal,1
Albania,Slovakia,1
Albania,Spain,447
Albania,Sweden,442.5
Albania,United Kingdom,147
Angola,Switzerland,2
Armenia,Austria,199.5
Armenia,Belgium,21.5
Armenia,Bulgaria,1.5
Armenia,Finland,4
Armenia,France,24.5
Armenia,Germany,625.5
Armenia,Greece,17
Armenia,Hungary,9
Armenia,Iceland,1.5
Armenia,Ireland,3.5
Armenia,Italy,5
Armenia,Lithuania,4
Armenia,Netherlands,7
Armenia,Poland,18.5
Armenia,Romania,0.5
Armenia,Spain,46.5
Armenia,Sweden,67
Armenia,Switzerland,12.5
Azerbaijan,Austria,8
Azerbaijan,Belgium,4
Azerbaijan,Germany,171
Azerbaijan,Switzerland,1
Bangladesh,Austria,15
Bangladesh,France,1
Bangladesh,Germany,252
Bangladesh,Iceland,1
Bangladesh,Italy,1
Bangladesh,Latvia,5
Bangladesh,Malta,2
Bangladesh,Spain,62
Bangladesh,Switzerland,1
Belarus,Germany,3
Benin,Germany,7
Benin,Switzerland,1.5
Bosnia and Herzegovina,Belgium,6
Bosnia and Herzegovina,Finland,2
Bosnia and Herzegovina,France,5
Bosnia and Herzegovina,Germany,559.5
Bosnia and Herzegovina,Hungary,0.5
Bosnia and Herzegovina,Luxembourg,25
Bosnia and Herzegovina,Spain,2
Bosnia and Herzegovina,Sweden,24
Burkina Faso,Germany,3
Cameroon,Austria,3.5
Cameroon,Belgium,5
Cameroon,France,12.5
Cameroon,Germany,24
Cameroon,Italy,1
Cameroon,Luxembourg,1
Cameroon,Netherlands,35.5
Cameroon,Norway,1.5
Cameroon,Poland,2
Cameroon,Romania,1
Cameroon,Spain,16
Cameroon,Sweden,3.5
Cameroon,Switzerland,23.5
Cameroon,United Kingdom,9.5
Colombia,Bulgaria,2
Colombia,Finland,5
Colombia,France,14.5
Colombia,Germany,1.5
Colombia,Greece,2.5
Colombia,Hungary,1
Colombia,Italy,15.5
Colombia,Netherlands,3
Colombia,Poland,2
Colombia,Portugal,1.5
Colombia,Romania,0.5
Colombia,Spain,1724.5
Colombia,Switzerland,6.5
Congo DR,Belgium,164
Congo DR,Czech Republic,1
Congo DR,Finland,10.5
Congo DR,France,8.5
Congo DR,Germany,12
Congo DR,Hungary,2
Congo DR,Ireland,53.5
Congo DR,Lithuania,1
Congo DR,Luxembourg,1
Congo DR,Netherlands,2.5
Congo DR,Norway,8.5
Congo DR,Poland,2
Congo DR,Romania,2
Congo DR,Spain,7.5
Congo DR,Sweden,8.5
Congo DR,Switzerland,24.5
Congo DR,United Kingdom,5.5
C̫te d'Ivoire,Germany,2
Dominican Republic,Bulgaria,2
Dominican Republic,France,2
Dominican Republic,Greece,3.5
Dominican Republic,Hungary,1
Dominican Republic,Spain,364
Dominican Republic,Switzerland,0.5
Ecuador,Bulgaria,3
Ecuador,France,12.5
Ecuador,Germany,0.5
Ecuador,Italy,17.5
Ecuador,Netherlands,3
Ecuador,Poland,1
Ecuador,Portugal,0.5
Ecuador,Romania,0.5
Ecuador,Spain,832.5
Egypt,France,1
Egypt,Germany,77
Egypt,Greece,0.5
Egypt,Hungary,2
Egypt,Italy,444
Egypt,Norway,1
Egypt,Poland,0.5
Egypt,Switzerland,5.5
Ethiopia,Finland,4
Ethiopia,Germany,10
Ethiopia,Norway,14
Ethiopia,Sweden,15
Gambia,Austria,40.5
Gambia,Cyprus,1
Gambia,Denmark,0.5
Gambia,Finland,7.5
Gambia,France,2.5
Gambia,Germany,162.5
Gambia,Greece,0.5
Gambia,Hungary,1.5
Gambia,Ireland,13
Gambia,Italy,11.5
Gambia,Luxembourg,1
Gambia,Netherlands,2
Gambia,Norway,12
Gambia,Poland,1
Gambia,Slovakia,0.5
Gambia,Slovenia,1
Gambia,Spain,7
Gambia,Sweden,16
Gambia,Switzerland,12.5
Gambia,United Kingdom,17.5
Georgia,Austria,486
Georgia,Belgium,27.5
Georgia,Bulgaria,9.5
Georgia,Cyprus,1
Georgia,Denmark,4
Georgia,Estonia,0.5
Georgia,Finland,12.5
Georgia,France,344.5
Georgia,Germany,2942.5
Georgia,Greece,204
Georgia,Hungary,16.5
Georgia,Iceland,81
Georgia,Ireland,39.5
Georgia,Italy,71
Georgia,Lithuania,19
Georgia,Luxembourg,9
Georgia,Netherlands,4
Georgia,Norway,8.5
Georgia,Poland,162.5
Georgia,Portugal,5.5
Georgia,Romania,0.5
Georgia,Spain,570.5
Georgia,Sweden,149.5
Georgia,Switzerland,83
Georgia,United Kingdom,2
Ghana,Austria,0.5
Ghana,Belgium,7
Ghana,Finland,3
Ghana,France,5.5
Ghana,Germany,262
Ghana,Ireland,10
Ghana,Italy,2
Ghana,Luxembourg,0.5
Ghana,Malta,13
Ghana,Poland,1
Ghana,Spain,3.5
Ghana,Sweden,1.5
Ghana,Switzerland,7.5
Guinea,Austria,1
Guinea,Belgium,45
Guinea,France,16
Guinea,Germany,42
Guinea,Netherlands,2
Guinea,Norway,1
Guinea,Romania,2
Guinea,Spain,24
Guinea,Switzerland,16
Guinea-Bissau,Switzerland,2
Iraq,Bulgaria,1
Iraq,Denmark,7
Iraq,Finland,17
Iraq,Germany,25
Iraq,Netherlands,26
Iraq,Norway,66
Iraq,Sweden,161
Iraq,United Kingdom,28
Ivory Coast,Austria,2.5
Ivory Coast,Bulgaria,9
Ivory Coast,Germany,8.5
Ivory Coast,Greece,1
Ivory Coast,Italy,3
Ivory Coast,Norway,6
Ivory Coast,Poland,1.5
Ivory Coast,Spain,5
Ivory Coast,Switzerland,10.5
Kenya,Germany,2
Kosovo,Austria,1066.5
Kosovo,Belgium,32
Kosovo,Croatia,4
Kosovo,Denmark,4
Kosovo,Finland,148
Kosovo,France,138.5
Kosovo,Germany,5873
Kosovo,Hungary,766.5
Kosovo,Iceland,13.5
Kosovo,Italy,1
Kosovo,Luxembourg,35.5
Kosovo,Netherlands,4
Kosovo,Norway,77
Kosovo,Poland,1.5
Kosovo,Portugal,1
Kosovo,Romania,4
Kosovo,Slovakia,6
Kosovo,Slovenia,4
Kosovo,Sweden,288
Kosovo,United Kingdom,20
Kyrgyzstan,Switzerland,2
Lebanon,Germany,11
Lebanon,Norway,64
Macedonia,Austria,38
Macedonia,Belgium,9
Macedonia,Finland,5
Macedonia,France,2.5
Macedonia,Germany,2367.5
Macedonia,Hungary,0.5
Macedonia,Iceland,240
Macedonia,Luxembourg,8.5
Macedonia,Spain,3
Macedonia,Sweden,64
Mali,Germany,2
Mauritania,Spain,330
Moldova,Germany,1676
Moldova,Sweden,3
Moldova,Switzerland,5
Mongolia,Austria,12
Mongolia,Czech Republic,1
Mongolia,Norway,3
Mongolia,Poland,6
Mongolia,Sweden,152
Mongolia,Switzerland,1
Montenegro,Germany,292
Montenegro,Luxembourg,14
Morocco,Austria,1
Nigeria,Austria,927
Nigeria,Belgium,80
Nigeria,Bulgaria,75
Nigeria,Cyprus,4
Nigeria,Czech Republic,13
Nigeria,Denmark,45.5
Nigeria,Estonia,1
Nigeria,Finland,101
Nigeria,France,115
Nigeria,Germany,897.5
Nigeria,Greece,183.5
Nigeria,Hungary,89.5
Nigeria,Iceland,4
Nigeria,Ireland,531.5
Nigeria,Italy,1926.5
Nigeria,Latvia,1
Nigeria,Lithuania,4
Nigeria,Luxembourg,55
Nigeria,Malta,100
Nigeria,Netherlands,239
Nigeria,Norway,477
Nigeria,Poland,44
Nigeria,Portugal,23
Nigeria,Romania,15
Nigeria,Slovakia,5.5
Nigeria,Slovenia,6
Nigeria,Spain,517
Nigeria,Sweden,142.5
Nigeria,Switzerland,235.5
Nigeria,United Kingdom,434.5
North Macedonia,Austria,19
North Macedonia,Germany,579
North Macedonia,Iceland,7
North Macedonia,Luxembourg,6
Pakistan,Austria,194
Pakistan,Belgium,30
Pakistan,Bulgaria,79
Pakistan,Finland,14
Pakistan,France,51
Pakistan,Germany,982
Pakistan,Greece,617
Pakistan,Hungary,78
Pakistan,Ireland,55
Pakistan,Italy,25
Pakistan,Lithuania,5
Pakistan,Malta,2
Pakistan,Netherlands,8
Pakistan,Norway,22
Pakistan,Poland,32
Pakistan,Portugal,4
Pakistan,Romania,3
Pakistan,Slovakia,7
Pakistan,Slovenia,5
Pakistan,Spain,191
Pakistan,Sweden,52
Pakistan,Switzerland,23.5
Pakistan,United Kingdom,43
Peru,Spain,20
Russia,Austria,176
Russia,Bulgaria,1
Russia,Germany,609
Russia,Hungary,1
Russia,Norway,1
Russia,Poland,44
Russia,Sweden,6
Russia,Switzerland,19
Senegal,Germany,15
Senegal,Spain,203
Serbia,Austria,63
Serbia,Belgium,42
Serbia,Bulgaria,0.5
Serbia,Denmark,1
Serbia,Finland,10.5
Serbia,France,20.5
Serbia,Germany,6399
Serbia,Greece,11
Serbia,Iceland,21.5
Serbia,Ireland,5
Serbia,Italy,3
Serbia,Luxembourg,63.5
Serbia,Netherlands,9.5
Serbia,Norway,7
Serbia,Spain,14.5
Serbia,Sweden,320
Somalia,Denmark,2
Somalia,Germany,10
Sri Lanka,Bulgaria,23
Sri Lanka,Germany,3
Sri Lanka,Lithuania,2
Sri Lanka,Sweden,5
Sri Lanka,Switzerland,16
Sudan,Germany,1
Sudan,Greece,0.5
Sudan,Hungary,2
Sudan,Italy,40
Sudan,Norway,3
Sudan,Poland,0.5
Sudan,Switzerland,17.5
Togo,France,3
Togo,Germany,19.5
Togo,Luxembourg,0.5
Togo,Netherlands,7
Togo,Poland,0.5
Togo,Spain,1
Togo,Switzerland,6.5
Tunisia,Germany,847
Tunisia,Italy,6651
Turkey,Austria,7
Turkey,Finland,5
Turkey,Germany,21
Ukraine,Austria,29.5
Ukraine,France,22
Ukraine,Germany,325.5
Ukraine,Greece,2
Ukraine,Hungary,1
Ukraine,Ireland,14
Ukraine,Italy,21
Ukraine,Netherlands,1
Ukraine,Norway,6
Ukraine,Poland,5
Ukraine,Portugal,3.5
Ukraine,Spain,155.5
Ukraine,Sweden,5
Ukraine,Switzerland,13
Uzbekistan,Austria,14
Uzbekistan,Finland,1
Uzbekistan,Sweden,5
Vietnam,Czech Republic,8
Vietnam,Germany,83
Vietnam,Netherlands,2
Vietnam,Poland,43
Vietnam,Romania,25
