ROID,MSISO,FX_CONTRIB,MSNAME
RO-00853,SWE,501562.19,Sweden
RO-00853,AUT,2822.95,Austria
RO-00853,HUN,6810.21,Hungary
RO-00853,GRC,0,Greece
RO-00853,CZE,4369.26,Czech Republic
RO-00853,SVN,3660.24,Slovenia
RO-00853,BGR,10194.94,Bulgaria
RO-00853,DNK,1826.08,Denmark
RO-00855,SWE,541261.13,Sweden
RO-00855,AUT,3222.91,Austria
RO-00857,AUT,380560.69,Austria
RO-00857,CHE,54161.84,Switzerland
RO-00857,DEU,12404.33,Germany
RO-00857,NOR,50483.84,Norway
RO-00857,SWE,22236.7,Sweden
RO-00857,ITA,81385.36,Italy
RO-00858,AUT,369525.02,Austria
RO-00858,FRA,11521.64,France
RO-00858,DEU,67099.27,Germany
RO-00858,SWE,25803.56,Sweden
RO-00858,CHE,33980.81,Switzerland
RO-00859,AUT,325374.67,Austria
RO-00859,FRA,13815.12,France
RO-00859,DEU,14480.64,Germany
RO-00859,HUN,855.79,Hungary
RO-00859,SWE,38237.14,Sweden
RO-00860,AUT,80340.65,Austria
RO-00860,DEU,42142.05,Germany
RO-00868,DEU,473072.07,Germany
RO-00869,DEU,447029.74,Germany
RO-00870,DEU,442426.1,Germany
RO-00871,AUT,58797.1,Austria
RO-00874,AUT,176343.82,Austria
RO-00874,IRL,0,Ireland
RO-00875,AUT,58278.01,Austria
RO-00875,DEU,41578.71,Germany
RO-00879,DEU,275038.15,Germany
RO-00882,DEU,105258.11,Germany
RO-00882,FRA,4886.49,France
RO-00882,SWE,14569.6,Sweden
RO-00882,GEO,2541.25,Georgia
RO-00883,DEU,103975.33,Germany
RO-00883,FRA,5393.37,France
RO-00883,LUX,1286.41,Luxembourg
RO-00883,GEO,2439.6,Georgia
RO-00884,DEU,104180.52,Germany
RO-00884,FRA,4931.48,France
RO-00884,GEO,2439.6,Georgia
RO-00885,DEU,35990.48,Germany
RO-00885,MNE,2696.4,Montenegro
RO-00886,DEU,91894.27,Germany
RO-00887,DEU,107174.71,Germany
RO-00887,GEO,2541.25,Georgia
RO-00887,CHE,28711.88,Switzerland
RO-00888,DEU,82944.6,Germany
RO-00889,DEU,167861.5,Germany
RO-00891,DEU,89576.4,Germany
RO-00892,DEU,73790.38,Germany
RO-00894,AUT,152550.1,Austria
RO-00894,DEU,21999.03,Germany
RO-00896,DEU,179306.11,Germany
RO-00898,NLD,1361.27,Netherlands
RO-00898,ESP,0,Spain
RO-00898,FX,375100,Frontex
RO-00901,DEU,268825.18,Germany
RO-00902,FRA,43317.92,France
RO-00902,BEL,88.31,Belgium
RO-00902,ALB,1626.4,Albania
RO-00904,FRA,41541.22,France
RO-00904,BEL,88.31,Belgium
RO-00904,ALB,1626.4,Albania
RO-00905,FRA,43533.66,France
RO-00905,BEL,170.85,Belgium
RO-00905,ALB,1626.4,Albania
RO-00907,DEU,275361.83,Germany
RO-00910,DEU,76957.02,Germany
RO-00914,CHE,275086.34,Switzerland
RO-00914,DEU,27257.09,Germany
RO-00915,GRC,0,Greece
RO-00915,SWE,38350.29,Sweden
RO-00915,FX,219800,Frontex
RO-00916,GRC,0,Greece
RO-00916,SWE,48167.39,Sweden
RO-00916,FX,359000,Frontex
RO-00918,DEU,95161.14,Germany
RO-00920,DEU,88528.2,Germany
RO-00923,ITA,60600,Italy
RO-00925,ITA,43430,Italy
RO-00926,DEU,195123.33,Germany
RO-00927,DEU,195123.33,Germany
RO-00928,FRA,43541.64,France
RO-00928,BEL,170.85,Belgium
RO-00928,ALB,1776.2,Albania
RO-00929,FRA,42154.86,France
RO-00929,BEL,170.85,Belgium
RO-00929,ALB,1776.2,Albania
RO-00930,FRA,42233.25,France
RO-00930,BEL,170.85,Belgium
RO-00930,ALB,1776.2,Albania
RO-00931,ESP,199379.39,Spain
RO-00932,FRA,44004.95,France
RO-00932,BEL,170.85,Belgium
RO-00932,ALB,1776.2,Albania
RO-00933,ESP,363121.88,Spain
RO-00933,FIN,70067.69,Finland
RO-00934,ITA,39895,Italy
RO-00935,DEU,100980.56,Germany
RO-00936,DEU,83487.54,Germany
RO-00937,ITA,125822.21,Italy
RO-00939,DEU,277071.17,Germany
RO-00941,ITA,53530,Italy
RO-00942,DEU,52064.03,Germany
RO-00943,FIN,80844.95,Finland
RO-00944,ITA,39379.9,Italy
RO-00945,DEU,70687.21,Germany
RO-00946,DEU,100825.91,Germany
RO-00947,DEU,40282.1,Germany
RO-00949,DEU,39115,Germany
RO-00950,DEU,40422.31,Germany
RO-00951,ITA,37269,Italy
RO-00952,DEU,102025.6,Germany
RO-00953,DEU,171205.28,Germany
RO-00954,FRA,44144.2,France
RO-00954,BEL,170.85,Belgium
RO-00954,ALB,1701.3,Albania
RO-00955,FRA,43735.91,France
RO-00955,BEL,170.85,Belgium
RO-00955,ALB,1701.3,Albania
RO-00956,FRA,40979.9,France
RO-00956,BEL,170.85,Belgium
RO-00956,ALB,1701.3,Albania
RO-00957,DEU,191297.61,Germany
RO-00958,FRA,42660.85,France
RO-00958,BEL,170.85,Belgium
RO-00958,ALB,1701.3,Albania
RO-00959,DEU,70146.81,Germany
RO-00960,DEU,50419.79,Germany
RO-00961,DEU,98101.69,Germany
RO-00962,ITA,39390,Italy
RO-00963,DEU,58716.75,Germany
RO-00964,DEU,45674.77,Germany
RO-00965,DEU,375950.6,Germany
RO-00965,NLD,0,Netherlands
RO-00965,DNK,22001.02,Denmark
RO-00966,DEU,106453.51,Germany
RO-00966,ISL,97091.3,Iceland
RO-00966,SWE,12888.05,Sweden
RO-00966,GEO,2439.6,Georgia
RO-00967,DEU,317667.5,Germany
RO-00970,AUT,394966.18,Austria
RO-00970,CHE,46141.86,Switzerland
RO-00970,DEU,28869.01,Germany
RO-00970,BGR,5423.7,Bulgaria
RO-00970,HUN,914.94,Hungary
RO-00971,AUT,373713.32,Austria
RO-00971,DEU,35451.59,Germany
RO-00971,NLD,0,Netherlands
RO-00971,CHE,38899.7,Switzerland
RO-00971,HUN,757.66,Hungary
RO-00973,AUT,370970.33,Austria
RO-00973,SWE,18097.47,Sweden
RO-00973,DEU,29938,Germany
RO-00974,AUT,318418.72,Austria
RO-00974,DEU,38502.3,Germany
RO-00974,ROU,6266.04,Romania
RO-00974,FIN,38371.92,Finland
RO-00974,BGR,7108.38,Bulgaria
RO-00974,CZE,2353.3,Czech Republic
RO-00974,LUX,5692.7,Luxembourg
RO-00974,BEL,4254.36,Belgium
RO-00975,FRA,43691.47,France
RO-00975,BEL,170.85,Belgium
RO-00975,ALB,1848.96,Albania
RO-00976,FRA,43253.89,France
RO-00976,BEL,170.85,Belgium
RO-00976,ALB,1848.96,Albania
RO-00977,FRA,43062.72,France
RO-00977,FIN,35330.81,Finland
RO-00977,BEL,170.85,Belgium
RO-00977,ALB,1848.96,Albania
RO-00978,FRA,41367.26,France
RO-00978,NLD,4072.8,Netherlands
RO-00978,BEL,170.85,Belgium
RO-00978,ALB,1848.96,Albania
RO-00980,DEU,137139.2,Germany
RO-00982,AUT,305103.83,Austria
RO-00982,SWE,20219.8,Sweden
RO-00982,POL,3951.12,Poland
RO-00982,SVN,951.58,Slovenia
RO-00982,HUN,1242.62,Hungary
RO-00982,DEU,76302.45,Germany
RO-00983,AUT,59160.14,Austria
RO-00983,SVN,260.74,Slovenia
RO-00984,ITA,36358.99,Italy
RO-00985,ITA,131939.33,Italy
RO-00986,AUT,58994.1,Austria
RO-00987,DEU,98327.49,Germany
RO-00988,BEL,240169.43,Belgium
RO-00988,AUT,7265.94,Austria
RO-00988,NLD,5511.6,Netherlands
RO-00988,HUN,4179.69,Hungary
RO-00988,CHE,44655.32,Switzerland
RO-00988,DEU,25161.05,Germany
RO-00988,PRT,0,Portugal
RO-00988,BGR,8150.7,Bulgaria
RO-00989,DEU,102682.24,Germany
RO-00989,FRA,3985.07,France
RO-00990,DEU,154061.15,Germany
RO-00991,ITA,38380,Italy
RO-00993,ITA,32545.22,Italy
RO-00993,BEL,310858.51,Belgium
RO-00994,ESP,385976.91,Spain
RO-00996,ESP,192969.25,Spain
RO-00997,ITA,34843.99,Italy
RO-00998,ITA,43428.99,Italy
RO-00999,DEU,171078.67,Germany
RO-01000,DEU,94303.3,Germany
RO-01001,DEU,424935.72,Germany
RO-01001,AUT,66700.4,Austria
RO-01002,DEU,282251.92,Germany
RO-01002,FRA,4152.69,France
RO-01002,CHE,41158.69,Switzerland
RO-01002,ITA,79259.75,Italy
RO-01003,DEU,85569.42,Germany
RO-01004,DEU,100767.59,Germany
RO-01005,DEU,100231.97,Germany
RO-01006,CHE,449991.26,Switzerland
RO-01006,AUT,7459.86,Austria
RO-01007,FRA,37307.38,France
RO-01008,FRA,124346.53,France
RO-01009,DEU,94223.33,Germany
RO-01009,FRA,5793.09,France
RO-01009,GEO,2439.6,Georgia
RO-01010,ITA,44743,Italy
RO-01011,HUN,9385.65,Hungary
RO-01011,AUT,342640.48,Austria
RO-01011,SWE,60509.59,Sweden
RO-01011,BGR,10559.55,Bulgaria
RO-01012,DEU,103474.87,Germany
RO-01013,DEU,112102.39,Germany
RO-01014,DEU,54890.25,Germany
RO-01015,AUT,159370.93,Austria
RO-01015,DEU,21048.42,Germany
RO-01016,ITA,40501,Italy
RO-01017,FRA,41152.79,France
RO-01017,BEL,130.69,Belgium
RO-01017,ALB,1808.3,Albania
RO-01018,FRA,43789.09,France
RO-01018,ALB,1808.3,Albania
RO-01019,FRA,42224.52,France
RO-01019,BEL,130.98,Belgium
RO-01019,ALB,1808.3,Albania
RO-01020,FRA,42754.79,France
RO-01020,ALB,1808.3,Albania
RO-01020,BEL,131.54,Belgium
RO-01021,ITA,2045.24,Italy
RO-01021,FX,282700,Frontex
RO-01022,ESP,148899.58,Spain
RO-01024,DEU,436620.18,Germany
RO-01025,ESP,147697.68,Spain
RO-01026,DEU,325765.24,Germany
RO-01026,GRC,0,Greece
RO-01027,DEU,106759.88,Germany
RO-01028,DEU,76693.29,Germany
RO-01029,DEU,107709.32,Germany
RO-01029,FIN,38854.7,Finland
RO-01030,ITA,49995,Italy
RO-01031,DEU,324739.65,Germany
RO-01031,POL,5555,Poland
RO-01032,DEU,91918.64,Germany
RO-01035,DEU,106451.88,Germany
RO-01036,DEU,351339.2,Germany
RO-01037,DEU,105497.05,Germany
RO-01037,GEO,2439.6,Georgia
RO-01037,FRA,4677.71,France
RO-01038,DEU,104445.94,Germany
RO-01038,ITA,27769.95,Italy
RO-01038,SWE,33513.4,Sweden
RO-01038,GEO,2439.6,Georgia
RO-01039,DEU,100069.8,Germany
RO-01040,FIN,41116.09,Finland
RO-01041,DEU,153260.24,Germany
RO-01042,SWE,486617.58,Sweden
RO-01043,DEU,432618.87,Germany
RO-01044,AUT,62120.56,Austria
RO-01045,AUT,69874.93,Austria
RO-01046,FRA,43691.56,France
RO-01046,BEL,164.79,Belgium
RO-01046,ALB,1848.96,Albania
RO-01047,DEU,125277.64,Germany
RO-01048,SWE,485911.77,Sweden
RO-01048,AUT,78497,Austria
RO-01048,BGR,12686.61,Bulgaria
RO-01049,SWE,512268.97,Sweden
RO-01049,BGR,4242,Bulgaria
RO-01049,AUT,72576.39,Austria
RO-01050,SWE,513445.49,Sweden
RO-01050,BGR,5731.75,Bulgaria
RO-01053,DEU,181741.08,Germany
RO-01054,SWE,211429.58,Sweden
RO-01054,FIN,22814.89,Finland
RO-01054,NOR,37614.08,Norway
RO-01055,ITA,50096,Italy
RO-01056,SWE,511811.2,Sweden
RO-01057,FRA,39592,France
RO-01058,ITA,48379,Italy
RO-01059,SWE,574211.93,Sweden
RO-01059,AUT,2665.39,Austria
RO-01059,BGR,5423.7,Bulgaria
RO-01060,AUT,130827.32,Austria
RO-01060,DEU,35466.33,Germany
RO-01061,DEU,96212.76,Germany
RO-01063,DEU,394538.79,Germany
RO-01065,DEU,159075.73,Germany
RO-01066,DEU,408137.81,Germany
RO-01066,POL,4221.8,Poland
RO-01067,DEU,419081.62,Germany
RO-01067,AUT,50387.89,Austria
RO-01067,FIN,39340.51,Finland
RO-01068,DEU,413672.53,Germany
RO-01068,ITA,67846.75,Italy
RO-01069,FRA,42218.46,France
RO-01069,BEL,127.95,Belgium
RO-01069,ALB,1947.4,Albania
RO-01070,FRA,42592.69,France
RO-01070,BEL,130.41,Belgium
RO-01070,ALB,1947.4,Albania
RO-01071,FRA,41441.57,France
RO-01071,BEL,130.69,Belgium
RO-01071,ALB,1947.4,Albania
RO-01072,FRA,104822.37,France
RO-01072,GEO,2396.8,Georgia
RO-01073,DEU,114447.54,Germany
RO-01074,FRA,47727.69,France
RO-01074,ALB,1947.4,Albania
RO-01075,DEU,39095.74,Germany
RO-01076,DEU,105160.98,Germany
RO-01077,DEU,113570.59,Germany
RO-01078,ITA,62620,Italy
RO-01079,DEU,88553.61,Germany
RO-01080,DEU,433463.22,Germany
RO-01081,ITA,50399,Italy
RO-01083,ITA,44440,Italy
RO-01087,DEU,119371.23,Germany
RO-01088,DEU,448621.26,Germany
RO-01089,DEU,403064.4,Germany
RO-01090,DEU,448412.86,Germany
RO-01090,CHE,18827.92,Switzerland
RO-01091,ESP,59007.74,Spain
RO-01092,ESP,146095.16,Spain
RO-01093,DEU,120077.52,Germany
RO-01094,DEU,329803.2,Germany
RO-01095,ITA,137510.72,Italy
RO-01096,ITA,47975,Italy
RO-01097,ITA,67619.5,Italy
RO-01099,DEU,108563.83,Germany
RO-01100,DEU,501725.27,Germany
RO-01100,AUT,51556.46,Austria
RO-01100,FIN,40513.12,Finland
RO-01100,SWE,15682.99,Sweden
RO-01102,FRA,42379.23,France
RO-01102,BEL,135.22,Belgium
RO-01102,ALB,1826.13,Albania
RO-01103,FRA,43213.26,France
RO-01103,BEL,1394.61,Belgium
RO-01103,ALB,1826.13,Albania
RO-01104,FRA,43402.89,France
RO-01104,BEL,130.69,Belgium
RO-01104,ALB,1826.14,Albania
RO-01105,DEU,108520.3,Germany
RO-01105,FRA,11948.46,France
RO-01105,ITA,25143.95,Italy
RO-01105,GEO,2439.6,Georgia
RO-01106,DEU,284147.6,Germany
RO-01107,ITA,50348.5,Italy
RO-01108,DEU,100296.42,Germany
RO-01108,FRA,5031.11,France
RO-01108,GEO,2610.37,Georgia
RO-01109,DEU,83464.1,Germany
RO-01111,DEU,91776.35,Germany
RO-01112,ITA,52015,Italy
RO-01113,DEU,55598.24,Germany
RO-01114,ITA,49338.5,Italy
RO-01115,DEU,389904.36,Germany
RO-01116,DEU,387049.46,Germany
RO-01117,DEU,101098.74,Germany
RO-01118,DEU,100937.76,Germany
RO-01118,SWE,19465.66,Sweden
RO-01119,ITA,48884,Italy
RO-01120,ITA,49742.5,Italy
RO-01121,ITA,62620,Italy
RO-01122,ITA,62468.5,Italy
RO-01123,DEU,334094.07,Germany
RO-01123,BGR,4565.2,Bulgaria
RO-01123,PRT,681.75,Portugal
RO-01124,ESP,360988.02,Spain
RO-01124,POL,7372.5,Poland
RO-01124,BGR,4565.2,Bulgaria
RO-01125,ITA,142838.06,Italy
RO-01125,BGR,3169.38,Bulgaria
RO-01127,FRA,43320.34,France
RO-01127,BEL,197.72,Belgium
RO-01127,ALB,1868.93,Albania
RO-01128,FRA,43256.41,France
RO-01128,ALB,1868.93,Albania
RO-01129,FRA,42256.86,France
RO-01129,ALB,1868.95,Albania
RO-01130,FRA,40238.35,France
RO-01130,BEL,131.54,Belgium
RO-01130,ALB,1712,Albania
RO-01131,FRA,45295.18,France
RO-01131,BEL,131.54,Belgium
RO-01131,ALB,1712,Albania
RO-01132,FRA,42188.46,France
RO-01132,BEL,142.45,Belgium
RO-01132,ALB,1712,Albania
RO-01133,FRA,42517.95,France
RO-01133,BEL,131.54,Belgium
RO-01133,ALB,1712,Albania
RO-01134,AUT,162013.19,Austria
RO-01134,DEU,22930.39,Germany
RO-01135,AUT,359960.17,Austria
RO-01135,HUN,1563.4,Hungary
RO-01135,SWE,30352.6,Sweden
RO-01136,AUT,356318.24,Austria
RO-01136,DEU,29638.74,Germany
RO-01136,LUX,31431.05,Luxembourg
RO-01137,AUT,341035.66,Austria
RO-01137,DEU,29127.37,Germany
RO-01137,CHE,33895.6,Switzerland
RO-01137,FRA,5438.5,France
RO-01137,NOR,43407.53,Norway
RO-01137,SWE,19436.76,Sweden
RO-01139,ITA,56812.5,Italy
RO-01140,ESP,153707.18,Spain
RO-01140,SWE,55071.2,Sweden
RO-01143,DEU,208088.22,Germany
RO-01143,BGR,3575.4,Bulgaria
RO-01143,SWE,17456.6,Sweden
RO-01144,DEU,365223.22,Germany
RO-01145,FRA,103310.58,France
RO-01146,ITA,53782.5,Italy
RO-01147,ITA,58681,Italy
RO-01148,DEU,142799.6,Germany
RO-01149,AUT,84676.68,Austria
RO-01149,DEU,22810.7,Germany
RO-01150,DEU,402598.24,Germany
RO-01150,AUT,30959.73,Austria
RO-01151,DEU,87797.11,Germany
RO-01152,DEU,477586.29,Germany
RO-01152,ITA,64761.2,Italy
RO-01152,SWE,21765.12,Sweden
RO-01153,ITA,49692,Italy
RO-01154,DEU,141099.6,Germany
RO-01155,ITA,55449,Italy
RO-01156,ITA,52015,Italy
RO-01158,DEU,100207.89,Germany
RO-01159,DEU,87613.5,Germany
RO-01160,DEU,195053.83,Germany
RO-01161,DEU,451900.26,Germany
RO-01162,DEU,446720.55,Germany
RO-01163,DEU,470430.53,Germany
RO-01164,DEU,143282.61,Germany
RO-01165,DEU,139730.09,Germany
RO-01166,ITA,65650,Italy
RO-01167,ITA,54439,Italy
RO-01168,DEU,305011.34,Germany
RO-01169,DEU,312185.7,Germany
RO-01170,DEU,303672.28,Germany
RO-01171,DEU,101083.29,Germany
RO-01172,DEU,98622.5,Germany
RO-01173,DEU,95838.66,Germany
RO-01174,DEU,146092.35,Germany
RO-01175,ITA,48884,Italy
RO-01176,AUT,449999.63,Austria
RO-01176,HUN,12062.52,Hungary
RO-01176,BGR,6913.45,Bulgaria
RO-01177,ITA,52924,Italy
RO-01184,DEU,56000.47,Germany
RO-01185,ITA,48581,Italy
RO-01189,DEU,99601.14,Germany
RO-01190,ITA,51611,Italy
RO-01191,ITA,64892.5,Italy
RO-01192,ITA,1050.02,Italy
RO-01192,FX,297431,Frontex
RO-01199,NOR,235084.99,Norway
RO-01199,SWE,39404.51,Sweden
RO-01200,ESP,365249.41,Spain
RO-01201,HUN,10877.67,Hungary
RO-01201,AUT,12476.53,Austria
RO-01201,SVN,1144.41,Slovenia
RO-01201,BGR,6913.45,Bulgaria
RO-01201,FX,319275,Frontex
RO-01202,DEU,312111.66,Germany
RO-01203,HUN,7010.62,Hungary
RO-01203,AUT,20035.37,Austria
RO-01203,SWE,72986.31,Sweden
RO-01203,FX,369700,Frontex
RO-01214,ITA,48783,Italy
RO-01215,FRA,42680.45,France
RO-01215,ALB,1915.3,Albania
RO-01215,BEL,130.98,Belgium
RO-01216,FRA,43508.41,France
RO-01216,ALB,1915.3,Albania
RO-01216,BEL,131.54,Belgium
RO-01217,FRA,42707.48,France
RO-01217,ALB,1915.3,Albania
RO-01217,BEL,187.82,Belgium
RO-01218,FRA,44489.82,France
RO-01218,ALB,1915.3,Albania
RO-01218,BEL,149.36,Belgium
RO-01221,ITA,44238,Italy
RO-01224,DEU,150305.02,Germany
RO-01224,AUT,42576.55,Austria
RO-01225,FRA,107148.08,France
RO-01225,GEO,2396.8,Georgia
RO-01227,ESP,71875.14,Spain
RO-01230,DEU,57772.05,Germany
RO-01230,UKR,4878.13,Ukraine
RO-01234,ESP,138683.43,Spain
RO-01235,ITA,49995,Italy
RO-01238,ITA,48278,Italy
RO-01239,ITA,48076,Italy
RO-01242,DEU,113308.89,Germany
RO-01243,ITA,48227.5,Italy
RO-01244,ITA,62418,Italy
RO-01245,ITA,1644.49,Italy
RO-01245,BEL,3175.44,Belgium
RO-01245,FX,173700,Frontex
RO-01246,ITA,48278,Italy
RO-01247,AUT,189265.6,Austria
RO-01247,DEU,46926.17,Germany
RO-01247,SWE,49177.44,Sweden
RO-01249,DEU,68349.96,Germany
RO-01250,ITA,48177,Italy
RO-01251,IRL,0,Ireland
RO-01251,BEL,3599.64,Belgium
RO-01251,ISL,61580.71,Iceland
RO-01252,ITA,48177,Italy
RO-01254,FRA,43508.71,France
RO-01254,BEL,131.26,Belgium
RO-01254,ALB,2097.2,Albania
RO-01255,FRA,40077.4,France
RO-01255,BEL,150.49,Belgium
RO-01255,ALB,2097.2,Albania
RO-01256,FRA,43415.94,France
RO-01256,BEL,136.63,Belgium
RO-01256,ALB,2097.2,Albania
RO-01257,FRA,43519.42,France
RO-01257,BEL,140.71,Belgium
RO-01257,ALB,2091.08,Albania
RO-01258,FRA,43176.58,France
RO-01258,BEL,133.52,Belgium
RO-01258,ALB,2091.08,Albania
RO-01259,FRA,43207.3,France
RO-01259,BEL,135.22,Belgium
RO-01259,ALB,2091.08,Albania
RO-01260,DEU,102195.69,Germany
RO-01261,ITA,48175.99,Italy
RO-01262,ITA,55548.99,Italy
RO-01265,FRA,114927.08,France
RO-01265,SWE,24287.54,Sweden
RO-01265,GEO,2439.6,Georgia
RO-01266,ESP,57028.14,Spain
RO-01267,ESP,57903.3,Spain
RO-01268,ITA,49187,Italy
RO-01269,ITA,49389,Italy
RO-01270,DEU,87719.39,Germany
RO-01271,DEU,91383.33,Germany
RO-01271,NOR,17195.34,Norway
RO-01271,SWE,17762.48,Sweden
RO-01273,ESP,367374.98,Spain
RO-01274,DEU,82945.09,Germany
RO-01275,ITA,44743,Italy
RO-01276,ITA,989.73,Italy
RO-01276,FX,205500,Frontex
RO-01277,LUX,28691.82,Luxembourg
RO-01278,ITA,42521,Italy
RO-01280,ITA,59041.57,Italy
RO-01282,ITA,41404.95,Italy
RO-01290,ITA,39177.9,Italy
RO-01296,ITA,40394.95,Italy
RO-01297,ITA,42914.9,Italy
RO-01300,DNK,67033.78,Denmark
RO-01308,ITA,41713,Italy
RO-01309,ESP,68159.85,Spain
RO-01310,ESP,62739.28,Spain
RO-01319,ITA,37258.9,Italy
RO-01320,ITA,105436.74,Italy
