RO-ID,Date,MS/SAC,TOTAL PAID
RO-00923,03/01/2019,ITA,"€                                                    6 0,600.00"
RO-00891,03/01/2019,DEU,"€                                                    8 9,576.40"
RO-00896,04/01/2019,DEU,"€                                                  1 79,306.11"
RO-00868,07/01/2019,DEU,"€                                                  4 73,072.07"
RO-00898,08/01/2019,NLD,"€                                                      1,361.27"
RO-00898,08/01/2019,ESP,€                                                              -
RO-00925,10/01/2019,ITA,"€                                                    4 3,430.00"
RO-00892,14/01/2019,DEU,"€                                                    7 3,790.38"
RO-00888,15/01/2019,DEU,"€                                                    8 2,944.60"
RO-00902,15/01/2019,FRA,"€                                                    4 3,317.92"
RO-00902,15/01/2019,BEL,€                                                           88.31
RO-00874,15/01/2019,AUT,"€                                                  1 76,343.82"
RO-00874,15/01/2019,IRL,€                                                              -
RO-00886,16/01/2019,DEU,"€                                                    9 1,894.27"
RO-00887,17/01/2019,DEU,"€                                                  1 07,174.71"
RO-00887,17/01/2019,CHE,"€                                                    2 8,711.88"
RO-00934,17/01/2019,ITA,"€                                                    3 9,895.00"
RO-00904,22/01/2019,FRA,"€                                                    4 1,541.22"
RO-00904,22/01/2019,BEL,€                                                          88.31
RO-00901,22/01/2019,DEU,"€                                                  2 68,825.18"
RO-00879,22/01/2019,DEU,"€                                                  2 75,038.15"
RO-00941,22/01/2019,ITA,"€                                                    5 3,530.00"
RO-00871,22/01/2019,AUT,"€                                                    5 8,797.10"
RO-00944,24/01/2019,ITA,"€                                                    3 9,379.90"
RO-00882,24/01/2019,DEU,"€                                                  1 05,258.11"
RO-00882,24/01/2019,FRA,"€                                                      4,886.49"
RO-00882,24/01/2019,SWE,"€                                                    1 4,569.60"
RO-00951,28/01/2019,ITA,"€                                                    3 7,269.00"
RO-00907,29/01/2019,DEU,"€                                                  2 75,361.83"
RO-00905,29/01/2019,FRA,"€                                                    4 3,533.66"
RO-00905,29/01/2019,BEL,€                                                         170.85
RO-00889,29/01/2019,DEU,"€                                                  1 67,861.50"
RO-00885,29/01/2019,DEU,"€                                                    3 5,990.48"
RO-00857,30/01/2019,AUT,"€                                                  3 80,560.69"
RO-00857,30/01/2019,CHE,"€                                                    5 4,161.84"
RO-00857,30/01/2019,DEU,"€                                                    1 2,404.33"
RO-00857,30/01/2019,NOR,"€                                                    5 0,483.84"
RO-00857,30/01/2019,SWE,"€                                                    2 2,236.70"
RO-00857,30/01/2019,ITA,"€                                                    8 1,385.36"
RO-00928,05/02/2019,FRA,"€                                                    4 3,541.64"
RO-00928,05/02/2019,BEL,€                                                         170.85
RO-00910,05/02/2019,DEU,"€                                                    7 6,957.02"
RO-00894,05/02/2019,AUT,"€                                                  1 52,550.10"
RO-00894,05/02/2019,DEU,"€                                                    2 1,999.03"
RO-00918,06/02/2019,DEU,"€                                                    9 5,161.14"
RO-00931,07/02/2019,ESP,"€                                                  1 99,379.39"
RO-00937,09/02/2019,ITA,"€                                                  1 25,822.21"
RO-00962,11/02/2019,ITA,"€                                                    3 9,390.00"
RO-00929,12/02/2019,FRA,"€                                                    4 2,154.86"
RO-00929,12/02/2019,BEL,€                                                         170.85
RO-00920,12/02/2019,DEU,"€                                                    8 8,528.20"
RO-00943,14/02/2019,FIN,"€                                                    8 0,844.95"
RO-00875,14/02/2019,AUT,"€                                                    5 8,278.01"
RO-00875,14/02/2019,DEU,"€                                                    4 1,578.71"
RO-00984,18/02/2019,ITA,"€                                                    3 6,358.99"
RO-ID,Date,MS/SAC,TOTAL PAID
RO-00869,18/02/2019,DEU,"€                                                  4 47,029.74"
RO-00985,19/02/2019,ITA,"€                                                  1 31,939.33"
RO-00930,19/02/2019,FRA,"€                                                    4 2,233.25"
RO-00930,19/02/2019,BEL,€                                                         170.85
RO-00883,21/02/2019,DEU,"€                                                  1 03,975.33"
RO-00883,21/02/2019,FRA,"€                                                      5,393.37"
RO-00883,21/02/2019,LUX,"€                                                      1,286.41"
RO-00927,25/02/2019,DEU,"€                                                  1 95,123.33"
RO-00932,26/02/2019,FRA,"€                                                    4 4,004.95"
RO-00932,26/02/2019,BEL,€                                                         170.85
RO-00926,26/02/2019,DEU,"€                                                  1 95,123.33"
RO-00957,27/02/2019,DEU,"€                                                  1 91,297.61"
RO-00933,27/02/2019,ESP,"€                                                  3 63,121.88"
RO-00933,27/02/2019,FIN,"€                                                    7 0,067.69"
RO-00858,27/02/2019,AUT,"€                                                  3 69,525.02"
RO-00858,27/02/2019,FRA,"€                                                    1 1,521.64"
RO-00858,27/02/2019,DEU,"€                                                    6 7,099.27"
RO-00858,27/02/2019,SWE,"€                                                    2 5,803.56"
RO-00858,27/02/2019,CHE,"€                                                    3 3,980.81"
RO-00942,28/02/2019,DEU,"€                                                    5 2,064.03"
RO-00991,04/03/2019,ITA,"€                                                    3 8,380.00"
RO-00945,05/03/2019,DEU,"€                                                    7 0,687.21"
RO-00914,06/03/2019,CHE,"€                                                  2 75,086.34"
RO-00914,06/03/2019,DEU,"€                                                    2 7,257.09"
RO-00954,07/03/2019,FRA,"€                                                    4 4,144.20"
RO-00954,07/03/2019,BEL,€                                                         170.85
RO-00935,07/03/2019,DEU,"€                                                  1 00,980.56"
RO-00853,12/03/2019,SWE,"€                                                  5 01,562.19"
RO-00853,12/03/2019,AUT,"€                                                      2,822.95"
RO-00853,12/03/2019,HUN,"€                                                      6,810.21"
RO-00853,12/03/2019,GRC,€                                                              -
RO-00853,12/03/2019,CZE,"€                                                      4,369.26"
RO-00853,12/03/2019,SVN,"€                                                      3,660.24"
RO-00853,12/03/2019,BGR,"€                                                    1 0,194.94"
RO-00853,12/03/2019,DNK,"€                                                      1,826.08"
RO-00956,12/03/2019,FRA,"€                                                    4 0,979.90"
RO-00956,12/03/2019,BEL,€                                                         170.85
RO-00961,13/03/2019,DEU,"€                                                    9 8,101.69"
RO-00915,13/03/2019,GRC,€                                                              -
RO-00915,13/03/2019,SWE,"€                                                    3 8,350.29"
RO-00997,14/03/2019,ITA,"€                                                    3 4,843.99"
RO-00990,14/03/2019,DEU,"€                                                  1 54,061.15"
RO-00960,14/03/2019,DEU,"€                                                    5 0,419.79"
RO-00936,14/03/2019,DEU,"€                                                    8 3,487.54"
RO-00998,15/03/2019,ITA,"€                                                    4 3,428.99"
RO-00860,15/03/2019,AUT,"€                                                    8 0,340.65"
RO-00860,15/03/2019,DEU,"€                                                    4 2,142.05"
RO-00983,19/03/2019,AUT,"€                                                    5 9,160.14"
RO-00983,19/03/2019,SVN,€                                                         260.74
RO-00955,19/03/2019,FRA,"€                                                    4 3,735.91"
RO-00955,19/03/2019,BEL,€                                                         170.85
RO-00870,19/03/2019,DEU,"€                                                  4 42,426.10"
RO-00988,26/03/2019,BEL,"€                                                  2 40,169.43"
RO-00988,26/03/2019,AUT,"€                                                      7,265.94"
RO-00988,26/03/2019,NLD,"€                                                      5,511.60"
RO-ID,Date,MS/SAC,TOTAL PAID
RO-00988,26/03/2019,HUN,"€                                                      4,179.69"
RO-00988,26/03/2019,CHE,"€                                                    4 4,655.32"
RO-00988,26/03/2019,DEU,"€                                                    2 5,161.05"
RO-00988,26/03/2019,PRT,€                                                              -
RO-00988,26/03/2019,BGR,"€                                                      8,150.70"
RO-00958,26/03/2019,FRA,"€                                                    4 2,660.85"
RO-00958,26/03/2019,BEL,€                                                         170.85
RO-00946,26/03/2019,DEU,"€                                                  1 00,825.91"
RO-00884,26/03/2019,DEU,"€                                                  1 04,180.52"
RO-00884,26/03/2019,FRA,"€                                                      4,931.48"
RO-00996,28/03/2019,ESP,"€                                                  1 92,969.25"
RO-00967,28/03/2019,DEU,"€                                                  3 17,667.50"
RO-00939,28/03/2019,DEU,"€                                                  2 77,071.17"
RO-01007,29/03/2019,FRA,"€                                                    3 7,307.38"
RO-00993,30/03/2019,ITA,"€                                                    3 2,545.22"
RO-00993,30/03/2019,BEL,"€                                                  3 10,858.51"
RO-01010,01/04/2019,ITA,"€                                                    4 4,743.00"
RO-00975,02/04/2019,FRA,"€                                                    4 3,691.47"
RO-00975,02/04/2019,BEL,€                                                         170.85
RO-00999,02/04/2019,DEU,"€                                                  1 71,078.67"
RO-00986,03/04/2019,AUT,"€                                                    5 8,994.10"
RO-00964,05/04/2019,DEU,"€                                                    4 5,674.77"
RO-01016,08/04/2019,ITA,"€                                                    4 0,501.00"
RO-00959,09/04/2019,DEU,"€                                                    7 0,146.81"
RO-00976,09/04/2019,FRA,"€                                                    4 3,253.89"
RO-00976,09/04/2019,BEL,€                                                         170.85
RO-00980,09/04/2019,DEU,"€                                                  1 37,139.20"
RO-00859,10/04/2019,AUT,"€                                                  3 25,374.67"
RO-00859,10/04/2019,FRA,"€                                                    1 3,815.12"
RO-00859,10/04/2019,DEU,"€                                                    1 4,480.64"
RO-00859,10/04/2019,HUN,€                                                         855.79
RO-00859,10/04/2019,SWE,"€                                                    3 8,237.14"
RO-00987,10/04/2019,DEU,"€                                                    9 8,327.49"
RO-00952,11/04/2019,DEU,"€                                                  1 02,025.60"
RO-00977,16/04/2019,FRA,"€                                                    4 3,062.72"
RO-00977,16/04/2019,FIN,"€                                                    3 5,330.81"
RO-00977,16/04/2019,BEL,€                                                         170.85
RO-00982,16/04/2019,AUT,"€                                                  3 05,103.83"
RO-00982,16/04/2019,SWE,"€                                                    2 0,219.80"
RO-00982,16/04/2019,POL,"€                                                      3,951.12"
RO-00982,16/04/2019,SVN,€                                                         951.58
RO-00982,16/04/2019,HUN,"€                                                      1,242.62"
RO-00982,16/04/2019,DEU,"€                                                    7 6,302.45"
RO-01000,18/04/2019,DEU,"€                                                    9 4,303.30"
RO-01030,18/04/2019,ITA,"€                                                    4 9,995.00"
RO-01021,18/04/2019,ITA,"€                                                      2,045.24"
RO-00978,24/04/2019,FRA,"€                                                    4 1,367.26"
RO-00978,24/04/2019,NLD,"€                                                      4,072.80"
RO-00978,24/04/2019,BEL,€                                                         170.85
RO-01024,24/04/2019,DEU,"€                                                  4 36,620.18"
RO-01025,25/04/2019,ESP,"€                                                  1 47,697.68"
RO-01008,26/04/2019,FRA,"€                                                  1 24,346.53"
RO-00953,30/04/2019,DEU,"€                                                  1 71,205.28"
RO-01046,30/04/2019,FRA,"€                                                    4 3,691.56"
RO-01046,30/04/2019,BEL,€                                                         164.79
RO-ID,Date,MS/SAC,TOTAL PAID
RO-00965,06/05/2019,DEU,"€                                                  3 75,950.60"
RO-00965,06/05/2019,NLD,€                                                              -
RO-00965,06/05/2019,DNK,"€                                                    2 2,001.02"
RO-01017,07/05/2019,FRA,"€                                                    4 1,152.79"
RO-01017,07/05/2019,BEL,€                                                         130.69
RO-01011,07/05/2019,HUN,"€                                                      9,385.65"
RO-01011,07/05/2019,AUT,"€                                                  3 42,640.48"
RO-01011,07/05/2019,SWE,"€                                                    6 0,509.59"
RO-01011,07/05/2019,BGR,"€                                                    1 0,559.55"
RO-00947,07/05/2019,DEU,"€                                                    4 0,282.10"
RO-01004,08/05/2019,DEU,"€                                                  1 00,767.59"
RO-00994,08/05/2019,ESP,"€                                                  3 85,976.91"
RO-01055,09/05/2019,ITA,"€                                                    5 0,096.00"
RO-01040,09/05/2019,FIN,"€                                                    4 1,116.09"
RO-01018,14/05/2019,FRA,"€                                                    4 3,789.09"
RO-01028,15/05/2019,DEU,"€                                                    7 6,693.29"
RO-00974,15/05/2019,AUT,"€                                                  3 18,418.72"
RO-00974,15/05/2019,DEU,"€                                                    3 8,502.30"
RO-00974,15/05/2019,ROU,"€                                                      6,266.04"
RO-00974,15/05/2019,FIN,"€                                                    3 8,371.92"
RO-00974,15/05/2019,BGR,"€                                                      7,108.38"
RO-00974,15/05/2019,CZE,"€                                                      2,353.30"
RO-00974,15/05/2019,LUX,"€                                                      5,692.70"
RO-00974,15/05/2019,BEL,"€                                                      4,254.36"
RO-00963,15/05/2019,DEU,"€                                                    5 8,716.75"
RO-01058,16/05/2019,ITA,"€                                                    4 8,379.00"
RO-01057,16/05/2019,FRA,"€                                                    3 9,592.00"
RO-01014,16/05/2019,DEU,"€                                                    5 4,890.25"
RO-01013,16/05/2019,DEU,"€                                                  1 12,102.39"
RO-01026,20/05/2019,DEU,"€                                                  3 25,765.24"
RO-01026,20/05/2019,GRC,€                                                              -
RO-01043,21/05/2019,DEU,"€                                                  4 32,618.87"
RO-01019,21/05/2019,FRA,"€                                                    4 2,224.52"
RO-01019,21/05/2019,BEL,€                                                         130.98
RO-00966,22/05/2019,DEU,"€                                                  1 06,453.51"
RO-00966,22/05/2019,ISL,"€                                                    9 7,091.30"
RO-00966,22/05/2019,SWE,"€                                                    1 2,888.05"
RO-01022,23/05/2019,ESP,"€                                                  1 48,899.58"
RO-01015,23/05/2019,AUT,"€                                                  1 59,370.93"
RO-01015,23/05/2019,DEU,"€                                                    2 1,048.42"
RO-01078,24/05/2019,ITA,"€                                                    6 2,620.00"
RO-01081,27/05/2019,ITA,"€                                                    5 0,399.00"
RO-01006,27/05/2019,CHE,"€                                                  4 49,991.26"
RO-01006,27/05/2019,AUT,"€                                                      7,459.86"
RO-01059,28/05/2019,SWE,"€                                                  5 74,211.93"
RO-01059,28/05/2019,AUT,"€                                                      2,665.39"
RO-01059,28/05/2019,BGR,"€                                                      5,423.70"
RO-01044,28/05/2019,AUT,"€                                                    6 2,120.56"
RO-01020,28/05/2019,FRA,"€                                                    4 2,754.79"
RO-01020,28/05/2019,BEL,€                                                         131.54
RO-01005,28/05/2019,DEU,"€                                                  1 00,231.97"
RO-01003,29/05/2019,DEU,"€                                                    8 5,569.42"
RO-01083,30/05/2019,ITA,"€                                                    4 4,440.00"
RO-01054,03/06/2019,SWE,"€                                                  2 11,429.58"
RO-01054,03/06/2019,FIN,"€                                                    2 2,814.89"
RO-ID,Date,MS/SAC,TOTAL PAID
RO-01054,03/06/2019,NOR,"€                                                    3 7,614.08"
RO-01029,03/06/2019,DEU,"€                                                  1 07,709.32"
RO-01029,03/06/2019,FIN,"€                                                    3 8,854.70"
RO-01069,04/06/2019,FRA,"€                                                    4 2,218.46"
RO-01069,04/06/2019,BEL,€                                                         127.95
RO-01009,04/06/2019,DEU,"€                                                    9 4,223.33"
RO-01009,04/06/2019,FRA,"€                                                      5,793.09"
RO-01039,05/06/2019,DEU,"€                                                  1 00,069.80"
RO-01091,06/06/2019,ESP,"€                                                    5 9,007.74"
RO-01045,06/06/2019,AUT,"€                                                    6 9,874.93"
RO-01031,06/06/2019,DEU,"€                                                  3 24,739.65"
RO-01031,06/06/2019,POL,"€                                                      5,555.00"
RO-01012,06/06/2019,DEU,"€                                                  1 03,474.87"
RO-01096,10/06/2019,ITA,"€                                                    4 7,975.00"
RO-01097,11/06/2019,ITA,"€                                                    6 7,619.50"
RO-01063,11/06/2019,DEU,"€                                                  3 94,538.79"
RO-01027,11/06/2019,DEU,"€                                                  1 06,759.88"
RO-00855,11/06/2019,SWE,"€                                                  5 41,261.13"
RO-00855,11/06/2019,AUT,"€                                                      3,222.91"
RO-01074,12/06/2019,FRA,"€                                                    4 7,727.69"
RO-01065,12/06/2019,DEU,"€                                                  1 59,075.73"
RO-01053,12/06/2019,DEU,"€                                                  1 81,741.08"
RO-01001,13/06/2019,DEU,"€                                                  4 24,935.72"
RO-01001,13/06/2019,AUT,"€                                                    6 6,700.40"
RO-01107,17/06/2019,ITA,"€                                                    5 0,348.50"
RO-01080,17/06/2019,DEU,"€                                                  4 33,463.22"
RO-01070,18/06/2019,FRA,"€                                                    4 2,592.69"
RO-01070,18/06/2019,BEL,€                                                         130.41
RO-01042,18/06/2019,SWE,"€                                                  4 86,617.58"
RO-01095,22/06/2019,ITA,"€                                                  1 37,510.72"
RO-01112,24/06/2019,ITA,"€                                                    5 2,015.00"
RO-01071,25/06/2019,FRA,"€                                                    4 1,441.57"
RO-01071,25/06/2019,BEL,€                                                         130.69
RO-01002,25/06/2019,DEU,"€                                                  2 82,251.92"
RO-01002,25/06/2019,FRA,"€                                                      4,152.69"
RO-01002,25/06/2019,CHE,"€                                                    4 1,158.69"
RO-01002,25/06/2019,ITA,"€                                                    7 9,259.75"
RO-00949,25/06/2019,DEU,"€                                                    3 9,115.00"
RO-00970,26/06/2019,AUT,"€                                                  3 94,966.18"
RO-00970,26/06/2019,CHE,"€                                                    4 6,141.86"
